,timestamp_str,price,volume
0,Sep 18 2014 01: +0,12.091,180
1,Sep 19 2014 01: +0,12.337,198
2,Sep 20 2014 01: +0,12.521,220
3,Sep 21 2014 01: +0,12.004,217
4,Sep 22 2014 01: +0,12.757,139
5,Sep 23 2014 01: +0,11.819,133
6,Sep 24 2014 01: +0,11.526,163
7,Sep 25 2014 01: +0,11.67,160
8,Sep 26 2014 01: +0,11.614,215
9,Sep 27 2014 01: +0,11.891,207
10,Sep 28 2014 01: +0,11.815,214
11,Sep 29 2014 01: +0,12.028,152
12,Sep 30 2014 01: +0,11.34,166
13,Oct 01 2014 01: +0,11.183,141
14,Oct 02 2014 01: +0,11.411,157
15,Oct 03 2014 01: +0,11.382,170
16,Oct 04 2014 01: +0,11.457,202
17,Oct 05 2014 01: +0,11.269,188
18,Oct 06 2014 01: +0,11.244,153
19,Oct 07 2014 01: +0,11.081,149
20,Oct 08 2014 01: +0,11.083,139
21,Oct 09 2014 01: +0,10.699,131
22,Oct 10 2014 01: +0,11.049,180
23,Oct 11 2014 01: +0,11.131,234
24,Oct 12 2014 01: +0,11.216,202
25,Oct 13 2014 01: +0,11.321,182
26,Oct 14 2014 01: +0,11.087,136
27,Oct 15 2014 01: +0,10.885,152
28,Oct 16 2014 01: +0,10.858,146
29,Oct 17 2014 01: +0,10.821,183
30,Oct 18 2014 01: +0,10.882,226
31,Oct 19 2014 01: +0,10.839,212
32,Oct 20 2014 01: +0,10.43,140
33,Oct 21 2014 01: +0,10.714,139
34,Oct 22 2014 01: +0,10.36,134
35,Oct 23 2014 01: +0,10.393,140
36,Oct 24 2014 01: +0,10.622,167
37,Oct 25 2014 01: +0,11.07,187
38,Oct 26 2014 01: +0,10.688,203
39,Oct 27 2014 01: +0,10.544,121
40,Oct 28 2014 01: +0,10.747,139
41,Oct 29 2014 01: +0,10.574,138
42,Oct 30 2014 01: +0,10.602,141
43,Oct 31 2014 01: +0,10.103,225
44,Nov 01 2014 01: +0,10.359,209
45,Nov 02 2014 01: +0,10.009,226
46,Nov 03 2014 01: +0,10.117,163
47,Nov 04 2014 01: +0,9.846,153
48,Nov 05 2014 01: +0,9.754,144
49,Nov 06 2014 01: +0,9.881,122
50,Nov 07 2014 01: +0,10.18,169
51,Nov 08 2014 01: +0,10.283,246
52,Nov 09 2014 01: +0,9.845,189
53,Nov 10 2014 01: +0,9.969,145
54,Nov 11 2014 01: +0,9.855,148
55,Nov 12 2014 01: +0,8.754,167
56,Nov 13 2014 01: +0,8.691,150
57,Nov 14 2014 01: +0,8.457,191
58,Nov 15 2014 01: +0,9.429,219
59,Nov 16 2014 01: +0,9.628,227
60,Nov 17 2014 01: +0,9.411,135
61,Nov 18 2014 01: +0,9.686,123
62,Nov 19 2014 01: +0,9.184,128
